"anime_title","anime_premiere","anime_release","anime_nextair","anime_img","anime_badge"
"Hareluya II Boy","4/8/1997 12:00:00 AM","11/24/2021 2:00:00 PM","3/17/2022 5:00:00 PM","//static.hidive.com/titles/HTB/hareluya-II-boy_HTB_01_MASTER_300x169.jpg","E16 In 5 Days"
"Hataraki Man","10/13/2006 12:00:00 AM","3/6/2019 5:00:00 PM","","//static.hidive.com/titles/HTM/hataraki-man_HTM_01_MASTER_300x169.jpg","Exclusive"
"Hatenkou Yugi","1/4/2008 12:00:00 AM","10/20/2016 12:00:00 AM","","//static.hidive.com/titles/HTK/HTK_01_MASTER_300x1699.jpg",NA
"Hatsukoi Limited","4/11/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HL/HL_MASTER_300x169.jpg",NA
"Haven’t You Heard? I’m Sakamoto","4/8/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HYH/HYH_01_MASTER_300x169.jpg","Dubbed"
"Hayate the Combat Butler","4/1/2007 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HCB/HCB_01_MASTER_300x169.jpg",NA
"Hayate the Combat Butler 2nd Season","4/3/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HCB/HCB_02_MASTER_300x169.jpg",NA
"Hayate the Combat Butler! Can't Take My Eyes Off You","4/5/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HCB/HCB_03_MASTER_300x169.jpg",NA
"Hayate the Combat Butler: Cuties","4/8/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HCB/HCB_04_MASTER_300x169.jpg",NA
"He is My Master","4/7/2005 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HMM/HMM_MASTER_300x169.jpg",NA
"Heaven's Memo Pad","7/2/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/HMP/HMP_MASTER_300x169.jpg","Dubbed"
"Hello Kitty & Friends - Let's Learn Together","1/1/2017 12:00:00 AM","12/19/2019 1:00:00 PM","","//static.hidive.com/titles/HKF/Hello-Kitty-and-Friends-Lets-Learn-Together_HKF_01_MASTER_300x169.jpg","Dubbed"
"Hello!! KINMOZA!","4/6/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/KMZ/KMZ_02_MASTER_300x169.jpg",NA
